author,desc,genre,homepage,language,name,price,rating,release,require,time,url,version,vote_all,vote_cur
Private Hire News Limited,Free Taxi and Private Hire Industry New MagazineSubscribe now to receive Quarterly Editions and Monthly or other Updates.Privacy Policy URL http://www.privatehirenews.co.uk/terms.html,旅行,https://itunes.apple.com/cn/artist/private-hire-news/id648911891,"威尔士文, 德文, 法文, 芬兰文, 英文, 荷兰文, 西班牙文",Private Hire News,免费,限4岁以上,2013年09月21日,需要 iOS 5.0 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364363,https://itunes.apple.com/cn/app/private-hire-news/id648911868?mt=8,2,,
NewBay Media LLC,"Each monthly issue is organized into three primary sections: Look, Lust and Learn. ""Look"" focuses on the creative process, ""Lust"" is all about tools &amp; technology, and ""Learn"" is instructional - how to use your gear, terms and trends you should know, and how to use your new skills. Get what you need to succeed.",商业,https://itunes.apple.com/cn/artist/newbay-media/id509575364,"法文, 英文",Digital Video+,免费,限4岁以上,2013年07月19日,需要 iOS 5.0 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364364,https://itunes.apple.com/cn/app/digital-video+/id570659645?mt=8,2.0.0.12506,,
Graham Burns Burns,"Experience Travel Magazine Plan your next vacation, discover exotic destinations or get lost somewhere magical with Experience Travel MagazineFEATURINGDestinations from around the worldHoliday dealsLuxury escapesEuropeAsiaAfricaAmericas&amp; Much MoreGet Experience Travel Magazine for FREE today only!Experience Travel Magazine Subscription available:A single issue for $4.99 (non-subscription)1-month subscription for $3.99, automatically renewed until canceled,6-month subscription for $15.99, automatically renewed until canceled,1-year subscription for $29.99, automatically renewed until canceled,Payment for all purchases will be charged to your iTunes account at the confirmation of your purchase.SUBSCRIBERS' AUTOMATIC-RENEWAL FEATURE: Your subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. your iTunes account will automatically be charged at the same price for renewal 24-hours prior to the end of the current period (another year for annual subscribers, another month for monthly subscribers) unless you change your subscription preferences in your account settings. You can manage your subscriptions through your Account settings after purchase. No cancellation of the current subscription is allowed during active subscription period. Please go to http://imagii.net for more information",旅行,https://itunes.apple.com/cn/artist/graham-burns-burns/id668435731,"德文, 英文",Experience Travel Magazine,免费,限4岁以上,2013年12月19日,需要 iOS 5.0 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364245,https://itunes.apple.com/cn/app/experience-travel-magazine/id760125283?mt=8,1,,
Elsevier Inc.,"The Spine Journal Official Journal of the North American Spine SocietyNow its easy to stay current with original articles and research on the treatment, science, and clinical investigations of the spine. The Spine Journal iPad app brings you the convenience of reading your favorite journal from anywhere in the world with just a tap.•Browse each new monthly issue and read new Articles in Press throughout the month•Receive automatic notifications of new content•Read abstracts and articles in convenient full-screen reading mode•Swipe between articles for easy issue browsing •Watch in-article videos•Save articles on your device for offline reading (PDFs)•Bookmark key articles and take notes for follow up later•Email useful images or articles•Post useful articles on your Facebook or Twitter account for colleague awareness•Search locally stored contentMinimum requirements: IOS 5.0Journal subscribers: Log in with the same username and password that grants you access to the full journal content on The Spine Journal website. These credentials will allow full access to all content on the app.ABOUT The Spine JournalThe Spine Journal, the official journal of the North American Spine Society, is an international and multidisciplinary journal that publishes original, peer-reviewed articles on research and treatment related to the spine and spine care, including basic science and clinical investigations. It is a condition of publication that manuscripts submitted to The Spine Journal have not been published, and will not be simultaneously submitted or published elsewhere. The Spine Journal also publishes major reviews of specific topics by acknowledged authorities, technical notes, teaching editorials, and other special features, Letters to the Editor-in-Chief are encouraged.iTUNES SUBSCRIPTIONS TO The Spine JournalA single issue of the journal for $29.991-year subscription to the journal for $149.99, with additional free 3 monthsPayment for all purchases will be charged to your iTunes account upon confirmation of purchase.iTUNES SUBSCRIBERS AUTO-RENEW FEATUREYearly iTunes subscriptions will automatically renew each year unless you cancel. You can cancel at any time and up to 24 hours before your current subscription expires. Your iTunes account will automatically be charged the same price for the renewal within 24 hours prior to the end of the current period unless you change your subscription preferences in your iTunes Account Settings. You can manage your subscriptions through your Account Settings after purchase. No cancellation of the current subscription is allowed during the active subscription period.Our privacy policy is here: http://www.elsevier.com/EULA_Apple_apps",医疗,https://itunes.apple.com/cn/artist/elsevier-inc./id367031326,英文,The Spine Journal,免费,因含有以下内容而被评级为 12+：,2013年08月13日,需要 iOS 5.0 或更高版本。与 iPad 兼容。,1397364366,https://itunes.apple.com/cn/app/the-spine-journal/id686522757?mt=8,3.8.10,,
Intellisphere LLC,"Discover Reviews and Expert Commentaries on the critical literature you want to know about that’s in a brand-new format—and easily accessible in your practice. Enjoy multimedia resources to complement Cardiology Review’s rich content, including slide presentations, author interviews, audios, videos, and more.",医疗,https://itunes.apple.com/cn/artist/mdng/id331561962,英文,Cardiology Review,免费,限4岁以上,2014年02月26日,需要 iOS 7.0 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364367,https://itunes.apple.com/cn/app/cardiology-review/id567651529?mt=8,2.1.0,,
Forma Magazines AB,"Market - branschtidningen som ger dig kunskap!Market är detaljhandelns viktigaste branschtidning med en heltäckande nyhetsbevakning och rapportering om allt du behöver veta om detaljhandeln.I appen kan du läsa tidningen som kommer varannan vecka och som är fullmatad med rapporter om kunderna, butikerna och branschproffsen. Oumbärlig läsning för både huvudkontoren, kedjorna, butikscheferna och leverantörerna med innehåll som: debatter, nyheter, specialteman, köpcentrum, butiker, reportage om världen, trender och mycket mer.Market levererar aktuell, trovärdig och oberoende kunskap och förser dig som läsare med snabba nyheter, undersökningar, analyser, trender och fördjupningar. Nu kan du prenumerera på Market! Prenumerationen löper över 12 månader och kostar 3399:- Kostnaden dras från ditt iTunes-konto, och prenumerationen förnyas automatiskt när tidsperioden är över, om du inte avslutar det 24 timmar före periodens utgång. Inom 24 timmar från en prenumerationsperiods utgång kan ditt iTunes-konto debiteras för en ny period. Du kan när som helst avsluta din prenumeration, via inställningar för appen eller ditt iTunes konto, men du kan inte få pengar tillbaka om du avslutar en pågående prenumerationsperiod.",商业,https://itunes.apple.com/cn/artist/forma-magazines/id493259211,"博克马尔文，挪威文, 瑞典文, 英文",Tidningen Market,免费,限4岁以上,2014年02月05日,需要 iOS 5.0 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364368,https://itunes.apple.com/cn/app/tidningen-market/id551000333?mt=8,2.7.8,,
Universum Communications Sweden AB,"Campus är magasinet som gör studentlivet roligare och enklare. Här får du smarta tips, spännande möten och mängder av motivation som tar dig långt bortom nästa tenta.Nu kan du prenumerera på Campus! Prenumerationen löper över 12 månader och kostar endast 149:- Kostnaden dras från ditt iTunes-konto, och prenumerationen förnyas automatiskt när tidsperioden är över, om du inte avslutar det 24 timmar före periodens utgång. Inom 24 timmar från en prenumerationsperiods utgång kan ditt iTunes-konto debiteras för en ny period. Du kan när som helst avsluta din prenumeration, via inställningar för appen eller ditt iTunes konto, men du kan inte få pengar tillbaka om du avslutar en pågående prenumerationsperiod.Campus erbjuder dig som läsare denna tjänst i samarbete med Paperton, din digitala tidningskiosk.",教育,https://itunes.apple.com/cn/artist/universum-communications/id734414898,"博克马尔文，挪威文, 瑞典文, 英文",Campus,免费,限4岁以上,2013年11月13日,需要 iOS 5.0 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364369,https://itunes.apple.com/cn/app/campus/id734578743?mt=8,2.7.7,,
netzfrequenz software GmbH,"MEDIA BIZ - Fachmagazin &amp; Plattform für Medien- &amp; Kulturschaffende im deutschsprachigen Raum – informiert seit rund 20 Jahren die AV-Branche mit Trend-, Anwender-, Best-Practice-, Test- &amp; Messeberichten, Interviews, Expertentipps, sozialkritischen Beiträgen &amp; Impulsen aus den Bereichen Film, Video, Audio, Broadcast, IT, Multimedia, Bühne, Musik, Gaming oder Digital Signage.Ergänzend zum fachspezifischen Teil schlägt MEDIA BIZ die Brücke von Profis zu Film- und Musikfans und allen an Kultur Interessierten mit spannenden Einblicken hinter die Kulissen und Berichten über Produktionen, Projekte und Produkte der Entertainmentbranche und deren Protagonisten.Das Autorenteam von MEDIA BIZ besteht aus erfahrenen Journalisten mit entsprechender Ausbildung und Experten aus den jeweiligen Bereichen, darunter etablierte Filmproduzenten und engagierte Indiefilmer, Kameraleute, Cutter, Tonmeister, passionierte Filmpublizisten, DJs, Vortragende und Lehrende an Universitäten und anerkannten Bildungsinstitutionen, auf die Branche spezialisierte Steuer- und Wirtschaftsexperten oder Techniker, wie zum Beispiel ein ehemaliger Technikdirektor des ORF.Ausführliche Informationen und Einblicke finden Sie auf der Plattform www.mediabiz.at, die Ende 2013 völlig neu aufgestellt und umfassend erweitert werden wird.",娱乐,https://itunes.apple.com/cn/artist/netzfrequenz-software-gmbh/id422657930,"德文, 英文",MEDIA BIZ - Audiovision Musik Event Film Video Multimedia Entertainment Fachmagazin und Plattform,免费,因含有以下内容而被评级为 12+：,2014年03月21日,需要 iOS 6.1 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364370,https://itunes.apple.com/cn/app/media-biz-audiovision-musik/id646278838?mt=8,2.1.1,,
Trend Magazines Inc.,"Career Connections is your connection to jobs and training resources in the Sunshine State.Career Connections has the latest news about where the jobs are in Florida as well as advice for job hunters. If you are unemployed, underemployed or just seeking a new career path, Career Connections is the resource you need to navigate a path to success. Articles and checklists help you answer questions like: What kind of job would I be good at? Who’s hiring? Where can I get training? How can I pay for it? Includes comprehensive lists of Florida’s public universities, state colleges, private colleges, technical and career centers. From the publisher of Florida Trend business magazine and Workforce Florida Inc.Download the FREE app today, and then select the issue you like to purchase or subscribe and save! Digital purchase options available:-Individual issues are available for $0.99-One Year subscription available for $0.99, automatically renewed until cancelled.Subscription is for a period of 1 year from the date of purchase and will include the current issue and subsequently published future issues. Payment will be charged to your iTunes account at confirmation of your purchase. Back issues and current issues are available for purchase within the appSubscription will auto-renew unless you turn off 24-hours prior to the subscription expiry. You can turn off auto-renewal any time from your iTunes account settingsNo cancellation of the current active subscription is allowed during the subscription period.",教育,https://itunes.apple.com/cn/artist/florida-trend/id627366516,英文,Career Connections,免费,限4岁以上,2013年11月14日,需要 iOS 5.0 或更高版本。与 iPad 兼容。,1397364371,https://itunes.apple.com/cn/app/career-connections/id627366513?mt=8,1.3,,
Briefing Media Ltd,"Farmers Guardian is Agriculture’s National Newspaper with the latest farming news, comment, and show coverage.  The new Farmers Guardian iPad/iPhone edition brings you every page of the latest issue including the extensive classified section.Individual issues are priced at £2.49// Subscriptions 1 Month Subscription - £9.993 Months Subscription - £25.9912 Months Subscription - £99.99- Subscriptions can be purchased from within the application and will unlock any issues released during the term of the subscription. - Alternatively single issues can be purchased at a price of £2.49. - All purchases (inc. subscriptions) will be charged to your iTunes account at the confirmation of purchase. - Subscriptions will automatically renew within 24 hours of the end of the current subscription. - If you would like to cancel your subscription please do so before this 24 hour period by accessing your iTunes account settings. - Please be aware that subscriptions cannot be cancelled/refunded once purchased. - Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription. Terms of use: - All content in the Farmers Guardian app is copyright Briefing Media Ltd. All rights reserved. - Terms of use and privacy policy apply when accessing content via the Farmers Guardian app. - Privacy Policy - http://www.farmersguardain.com/privacy-policy/- Terms - http://www.farmersguardian.com/terms-and-conditions/// Credits Farmers Guardian is published by Briefing Media Ltd. iPad/iPhone application developed by Stonewash Ltd (www.stonewash.co.uk).",商业,https://itunes.apple.com/cn/artist/briefing-media-ltd/id634473167,"丹麦文, 俄文, 加泰罗尼亚文, 匈牙利文, 博克马尔文，挪威文, 印度尼西亚文, 土耳其文, 希伯来文, 希腊文, 德文, 意大利文, 捷克文, 斯洛伐克文, 日文, 法文, 波兰文, 瑞典文, 简体中文, 繁体中文, 罗马尼亚文, 芬兰文, 英文, 荷兰文, 葡萄牙文, 西班牙文, 韩文",Farmer's Guardian,免费,限4岁以上,2013年12月13日,需要 iOS 5.0 或更高版本。与 iPhone、iPad、iPod touch 兼容。 此 App 已针对 iPhone 5 进行优化。,1397364372,https://itunes.apple.com/cn/app/farmers-guardian/id634473164?mt=8,6.2.4,,
